X,Y,Name
73.0899999,36.597500026168,Blatts Yoz Zom
73.1725,36.725000026168,Karol Zom
72.8283333,36.648333326168,Shayaz Zom
72.8608333,36.436666626168,Shah Dok
72.3273969,36.154543726168,Buni Zom
72.2663888,35.910277726168,Ghochhar Sar
72.2827777,35.780833326168,Thalo Zom
72.8205555,35.945277726168,Sharang Bar
72.5063888,35.919166626168,Dadalbho
72.7768672,35.675418326168,Falak Sar
72.3674999,35.344166626168,Chambargahai
72.6558333,36.842500026168,Rahozon Zom
71.9891666,36.535833326168,Udren Zom
74.8358333,36.950555526168,Kharchanai
75.0808333,36.611666626168,Karun Kuh
75.3647222,36.914166626168,Khunjerab Sar I
75.4708333,35.533333326168,B21
71.9851812,29.442572526168,Lal Suhanra National Park
74.0032643,31.080900526168,Changa Manga Forest Park
72.5559746,30.670989926168,Kamalia Wildlife Park
72.2008455,30.755009326168,Shorkot Plantation Reserve
72.5885045,30.867511726168,Rajana Forest Bhagat Wildlife Park
73.0791264,31.418710426168,Clock Tower Faisalabad
73.0344116,31.370312326168,Gulshan Iqbal D block park
73.2108012,31.473404026168,Gutwala Park Faisalabad
74.3635476,31.533002726168,Joyland
74.2896637,31.516387126168,Gulshan-e-Iqbal Park
74.3306499,31.553270626168,Bagh-e-Jinnah
74.3345479,31.544481426168,Race Course (Jilani Park)
74.4768835,31.571468126168,"Jallo Park, Botanical Park"
74.3154234,31.588199526168,Lahore Fort
74.3131244,31.589752326168,Sheesh Mahal
74.3127117,31.592887826168,Greater Iqbal Park
74.309485,31.592514826168,Minar-e-Pakistan
74.3118916,31.594788926168,National History Museum
74.3144816,31.587301826168,Lahore Fort Park
74.30973,31.583199726168,Fakir Khana Museum
74.308338,31.582754026168,Haveli Mian Afzal Javed
74.3135113,31.580978326168,Laal Haveli
74.3113498,31.579653126168,Haveli Nau Nihal Singh
74.2936388,31.568771526168,Nehru Park
74.3002711,31.566444526168,Baba Ground
74.2949949,31.537180626168,Jinnah Park
74.2597467,31.520240526168,"Sabzazar K block Park, Lahore, Punjab"
74.2427162,31.537441926168,Mian Sharif Water Land
74.2182582,31.380816226168,Safari Zoo Lahore
74.1939131,31.387760026168,Safari Villas Park
74.2678169,31.366985126168,Lahore Race Club
74.3625038,31.557896126168,Royal Palm Golf And Country Club
73.0568292,33.744932526168,Marghazar Zoo
74.3263366,31.556612326168,Lahore Zoo
67.0232578,24.876207326168,Karachi Zoo Park
74.2095526,31.384339126168,Lahore Wildlife Park
67.1587265,24.826540126168,Korangi Zoo
67.108196,24.922217726168,Safari Park
74.4768835,31.571468126168,"Jallo Park, Botanical Park"
73.0726757,33.688466126168,Lok Virsa Heritage Museum
73.0228286,33.701830926168,Fatima Jinnah Park (F-9 Park)
73.0689041,33.693072126168,Pakistan Monument
73.0371536,33.729519826168,Shah Faisal Masjid
73.1116195,33.778427526168,Bruti Top
73.1941682,33.498257626168,Rawat Fort
72.9477243,33.670543626168,"Golra Sharif Railway Museum,"
72.9968107,33.647856226168,NUST Trail
72.8320196,33.687746926168,Children Park
73.8389657,33.947002526168,Chattar
73.0681372,33.744950826168,Archeological art Gallery
73.1112319,33.745302626168,Shrine Of Hazrat Bari Imam Sarkar
72.6989522,34.087543226168,Tarbela Dam
73.6425831,33.140635326168,Mangla Dam
73.6774465,33.724960926168,Tourist lodge
74.3488957,34.821172726168,Tourist Motel Kel
73.9499796,34.651467626168,Keran Resort
73.9473867,34.664620026168,Tourist Huts Upper Neelum - AJK Tourism Department
73.4196782,34.407184126168,"Tourist Lodge, Shaheed Gali"
73.469789,34.348733926168,Pearl Continental Muzaffarabad
73.9578313,33.916168926168,Las Danna Rest House
73.7850974,34.056421426168,Virsa Tourist Lodge
74.3488957,34.821172726168,Tourist Motel Kel
73.9471206,34.654705026168,The Twin Hills Resort
73.7319272,33.148499426168,Italian Pizza Hut
73.8095319,33.809053726168,Heaven Dreams Guesthouse
74.0608558,34.829270126168,Ratti Gali Lake
74.1100996,33.040098626168,Mazar Baba Shadi Shaheed
73.9072966,34.598479226168,Neelam Valley
73.8163585,33.810028226168,Banjosa Lake
73.0175,33.696944426168,Baradari
73.4970529,34.129935226168,Quaid-e-Azam Memorial Hut Barsala
72.9210435,34.003096626168,Shrine Chohar Sharif
73.8004956,34.560838226168,Kutton
73.9580246,33.918118826168,Lasdana
73.641266,33.131372026168,Mangla Fort
73.7309606,33.853808226168,Pearl Valley Public School And College
73.9096636,33.190173926168,Pirgali
73.5477778,34.387777826168,Pir Chinasi
73.6417553,33.223486526168,Ramkot Fort
73.464886,34.382359826168,Red Fort Muzaffarabad (Azad Kashmir PAKISTAN)
74.1372087,33.090319026168,Samahni
73.8776781,33.600407926168,Sarda
74.1899681,34.792091426168,Sharda Peeth
73.7448437,34.075339026168,Sudhan Galli
74.7124907,34.726673726168,Taobat
71.2725724,31.963425026168,Tinda
73.74475102,33.159791056168,"33.15979103	73.74475102"
73.9079529,33.892772126168,Toli Peer
73.7176283,34.131920226168,ZalZal Lake
72.3668125,33.769437526168,Jinnah Park Attock
72.241098,33.873590726168,Attock Khurd Railway Station
72.2397613,33.896694826168,Attock Bridge
72.2528025,33.898071626168,Maqbara Attock
72.1688889,33.713333326168,Kala Chitta Range
71.8865312,33.080154526168,Tarap Sher Shah Suri Well/ Baoli
72.6908037,33.821202426168,Hakimon ka Maqbara
72.2371399,33.891181826168,Attock Fort
73.0865074,33.745936826168,Trail 5 Camping Site
72.8748703,33.764953626168,Jaulian Buddhist Stupa & Monastery
72.858023,33.503870926168,Kherimuret National Park
72.6833225,33.616604826168,Shahpur Dam
72.6898107,33.820826626168,Gurudwara Panja Sahib
72.6918313,33.821403326168,Lala Rukh Tomb
72.2471599,33.895907426168,Baradari
72.936555,33.554907226168,Site for Public Park
72.0334832,33.179621126168,Maira Sharif
73.2715029,30.002777726168,Bahawalnagar Zoo
73.2675835,30.006067926168,Haider Stadium Bahawalnagar
72.5481187,29.167799226168,Jam Garh Fort
72.4343213,29.177934826168,Marot Fort
72.8618866,29.180955126168,Phulra
72.8408458,29.802895226168,Shrine of Hazrat Khwaja Noor Muhammad Maharvi R.A.
72.5481187,29.167799226168,Jam Garh Fort
73.2675835,30.006067926168,Haider Stadium Bahawalnagar
72.8440684,29.797743326168,Shrine of Hazrat Baba Taj ud Din Sarwar Chishti Shaheed(R.A.)
72.8408458,29.802895226168,Shrine of Hazrat Khwaja Noor Muhammad Maharvi R.A.
72.3796376,33.774785926168,Quaid E Azam Stadium
72.8574558,29.193053026168,Fort Abbas
73.0431011,33.691977126168,Shrine Peer Syed Muhammad Younas Qadri Naqashbandi
71.052869,29.240147026168,Shrine of Hazrat Jalal-u-Din Surakh Posh
71.020154,29.346336826168,Head Panjnad Bridge
71.0525111,29.240920826168,Tomb of Javindi Bibi
71.6679306,29.378965426168,Noor Mahal
